run_accession	experiment_accession	sample_accession	tax_id	experiment_title	fastq_ftp
SRR10587152	SRX7267135	SAMN13477587	9606	NextSeq 550 sequencing: GSM4202814: 293_tRNA_1 Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/052/SRR10587152/SRR10587152.fastq.gz
SRR10587153	SRX7267136	SAMN13477586	9606	NextSeq 550 sequencing: GSM4202815: 293_tRNA_2 Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/053/SRR10587153/SRR10587153.fastq.gz
SRR10587165	SRX7267148	SAMN13477574	10090	NextSeq 550 sequencing: GSM4202827: Spinal_cord_tRNA_3 Mus musculus OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/065/SRR10587165/SRR10587165.fastq.gz
SRR10587166	SRX7267149	SAMN13477573	10090	NextSeq 550 sequencing: GSM4202828: Liver_tRNA_1 Mus musculus OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/066/SRR10587166/SRR10587166.fastq.gz
SRR10587167	SRX7267150	SAMN13477572	10090	NextSeq 550 sequencing: GSM4202829: Liver_tRNA_2 Mus musculus OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/067/SRR10587167/SRR10587167.fastq.gz
SRR10587169	SRX7267152	SAMN13477596	10090	NextSeq 550 sequencing: GSM4202831: Heart_tRNA_1 Mus musculus OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/069/SRR10587169/SRR10587169.fastq.gz
SRR11729759	SRX8288958	SAMN14850334	9606	NextSeq 550 sequencing: GSM4522995: 293_tRNA_2_DM Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/059/SRR11729759/SRR11729759.fastq.gz
SRR10587154	SRX7267137	SAMN13477585	10090	NextSeq 550 sequencing: GSM4202816: Cerebellum_tRNA_1 Mus musculus OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/054/SRR10587154/SRR10587154.fastq.gz
SRR10587155	SRX7267138	SAMN13477584	10090	NextSeq 550 sequencing: GSM4202817: Cerebellum_tRNA_2 Mus musculus OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/055/SRR10587155/SRR10587155.fastq.gz
SRR10587157	SRX7267140	SAMN13477582	10090	NextSeq 550 sequencing: GSM4202819: Cortex_tRNA_1 Mus musculus OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/057/SRR10587157/SRR10587157.fastq.gz
SRR10587158	SRX7267141	SAMN13477581	10090	NextSeq 550 sequencing: GSM4202820: Cortex_tRNA_2 Mus musculus OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/058/SRR10587158/SRR10587158.fastq.gz
