sample_accession	experiment_accession	run_accession	tax_id	fastq_ftp	submitted_ftp	sample_title
SAMN15269041	SRX8557726	SRR12026322	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/022/SRR12026322/SRR12026322.fastq.gz		Scer_WT_rep1
SAMN15269018	SRX8557727	SRR12026323	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/023/SRR12026323/SRR12026323.fastq.gz		Scer_WT_rep2
SAMN15269010	SRX8557728	SRR12026324	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/024/SRR12026324/SRR12026324.fastq.gz		Scer_WT75_trm1_75
SAMN15269002	SRX8557729	SRR12026325	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/025/SRR12026325/SRR12026325.fastq.gz		Scer_WT25_trm1_25
SAMN15268988	SRX8557730	SRR12026326	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/026/SRR12026326/SRR12026326.fastq.gz		Scer_trm1
SAMN15268979	SRX8557731	SRR12026327	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/027/SRR12026327/SRR12026327.fastq.gz		Scer_WT_rep3
SAMN15268966	SRX8557732	SRR12026328	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/028/SRR12026328/SRR12026328.fastq.gz		Scer_WT75_trm10_25
SAMN15268946	SRX8557733	SRR12026329	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/029/SRR12026329/SRR12026329.fastq.gz		Scer_WT25_trm10_75
SAMN15268932	SRX8557734	SRR12026330	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/030/SRR12026330/SRR12026330.fastq.gz		Scer_trm10
SAMN15268922	SRX8557735	SRR12026331	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/031/SRR12026331/SRR12026331.fastq.gz		Scer_ox_WT_rep1
SAMN15268908	SRX8557736	SRR12026332	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/032/SRR12026332/SRR12026332.fastq.gz		Scer_ox_WT_rep2
SAMN15268899	SRX8557737	SRR12026333	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/033/SRR12026333/SRR12026333.fastq.gz		Scer_ox_WT_rep3
SAMN15268889	SRX8557738	SRR12026334	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/034/SRR12026334/SRR12026334.fastq.gz		Scer_ox_trm7_rep1
SAMN15268881	SRX8557739	SRR12026335	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/035/SRR12026335/SRR12026335.fastq.gz		Scer_ox_trm7_rep2
SAMN15268873	SRX8557740	SRR12026336	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/036/SRR12026336/SRR12026336.fastq.gz		Scer_ox_trm7_rep3
SAMN15268864	SRX8557741	SRR12026337	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/037/SRR12026337/SRR12026337.fastq.gz		Scer_WT_42C_ts_rep1
SAMN15268855	SRX8557742	SRR12026338	4896	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/038/SRR12026338/SRR12026338.fastq.gz		Spom_WT_rep1
SAMN15268819	SRX8557743	SRR12026339	4896	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/039/SRR12026339/SRR12026339.fastq.gz		Spom_WT_rep2
SAMN15268809	SRX8557744	SRR12026340	7227	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/040/SRR12026340/SRR12026340.fastq.gz		Dmel_BG3-c2_rep1
SAMN15268799	SRX8557745	SRR12026341	7227	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/041/SRR12026341/SRR12026341.fastq.gz		Dmel_BG3-c2_rep2
SAMN15268789	SRX8557746	SRR12026342	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/042/SRR12026342/SRR12026342.fastq.gz		Hsap_iPSC_rep1
SAMN15268780	SRX8557747	SRR12026343	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/043/SRR12026343/SRR12026343.fastq.gz		Hsap_iPSC_rep2
SAMN15268846	SRX8557748	SRR12026344	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/044/SRR12026344/SRR12026344.fastq.gz		Hsap_HEK293T_rep1
SAMN15268838	SRX8557749	SRR12026345	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/045/SRR12026345/SRR12026345.fastq.gz		Hsap_HEK293T_rep2
SAMN15268830	SRX8557750	SRR12026346	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/046/SRR12026346/SRR12026346.fastq.gz		Hsap_K562_rep1
SAMN15268769	SRX8557751	SRR12026347	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/047/SRR12026347/SRR12026347.fastq.gz		Hsap_K562_rep2
SAMN15268761	SRX8557752	SRR12026348	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/048/SRR12026348/SRR12026348.fastq.gz		Hsap_HEK293T_60C_1h
SAMN15268752	SRX8557753	SRR12026349	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/049/SRR12026349/SRR12026349.fastq.gz		Hsap_HEK293T_42C_1h
SAMN17015525	SRX9641254	SRR13208083	4932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/083/SRR13208083/SRR13208083.fastq.gz		Scer_WT_SuperScript_rep1
