"MODOMICS code","Name","Short Name","RNAMods code","Moiety type"
"00551A","2'-O-[(5'-phospho)ribosyl]adenosine-5'-monophosphate","pAr(p)","","nucleotide"
"00551G","2'-O-ribosylguanosine (phosphate)-5'-monophosphate","pGr(p)","","nucleotide"
"00A","2'-O-ribosyladenosine (phosphate)","Ar(p)","^","nucleoside"
"00G","2'-O-ribosylguanosine (phosphate)","Gr(p)","ℑ","nucleoside"
"01551A","1,2'-O-dimethyladenosine-5'-monophosphate","pm1Am","","nucleotide"
"01551G","1,2'-O-dimethylguanosine-5'-monophosphate","pm1Gm","","nucleotide"
"019551A","1,2'-O-dimethylinosine-5'-monophosphate","pm1Im","","nucleotide"
"019A","1,2'-O-dimethylinosine","m1Im","ξ","nucleoside"
"01A","1,2'-O-dimethyladenosine","m1Am","œ","nucleoside"
"01G","1,2'-O-dimethylguanosine","m1Gm","ε","nucleoside"
"022551G","N2,N2,2'-O-trimethylguanosine-5'-monophospate","pm2,2Gm","","nucleotide"
"022G","N2,N2,2'-O-trimethylguanosine","m2,2Gm","|","nucleoside"
"02551G","N2,2'-O-dimethylguanosine-5'-monophospate","pm2Gm","","nucleotide"
"02551U","2-thio-2'-O-methyluridine-5'-monophosphate","ps2Um","","nucleotide"
"027551G","N2,7,2'-O-trimethylguanosine-5'-monophosphate","pm2,7Gm","","nucleotide"
"027551G","N2,7,2'-O-trimethylguanosine-5'-monophosphate","pm2,7Gm","","nucleotide"
"027G","N2,7,2'-O-trimethylguanosine","m2,7Gm","æ","nucleoside"
"02G","N2,2'-O-dimethylguanosine","m2Gm","γ","nucleoside"
"02U","2-thio-2'-O-methyluridine","s2Um","∏","nucleoside"
"03551U","3,2'-O-dimethyluridine-5'-monophosphate","pm3Um","","nucleotide"
"03U","3,2'-O-dimethyluridine","m3Um","σ","nucleoside"
"042551C","[(2~{R},3~{R},4~{R},5~{R})-5-(4-acetamido-2-oxidanylidene-pyrimidin-1-yl)-4-methoxy-3-oxidanyl-oxolan-2-yl]methyl dihydrogen phosphate","pac4Cm","","nucleotide"
"042C","N4-acetyl-2'-O-methylcytidine","ac4Cm","ℵ","nucleoside"
"044551C","N4,N4,2'-O-trimethylcytidine-5'-monophospate","pm4,4Cm","","nucleotide"
"044C","N4,N4,2'-O-trimethylcytidine","m4,4Cm","β","nucleoside"
"04551C","4N,O2'-methylcytidine-5'-monophosphate","pm4Cm","","nucleotide"
"04C","N4,2'-O-dimethylcytidine","m4Cm","λ","nucleoside"
"0503551U","2'-O-methyluridine 5-oxyacetic acid methyl ester-5'-monophosphate","pmcmo5Um","","nucleotide"
"0503U","2'-O-methyluridine 5-oxyacetic acid methyl ester","mcmo5Um","Ͽ","nucleoside"
"051551C","2'-O-methyl-5-hydroxymethylcytidine-5'-monophosphate","phm5Cm","","nucleotide"
"051551U","5-carboxymethylaminomethyl-2'-O-methyluridine-5'-monophosphate","pcmnm5Um","","nucleotide"
"051C","2'-O-methyl-5-hydroxymethylcytidine","hm5Cm","¡","nucleoside"
"051U","5-carboxymethylaminomethyl-2'-O-methyluridine","cmnm5Um",")","nucleoside"
